index,decimals,name,address
TFL,8,TrueFlip,0xa7f976c360ebbed4465c2855684d1aae5271efa9
MGX,18,MEGAX,0xc79d440551a03f84f863b1f259f135794c8a7190
BTRN,18,Biotron,0x03c780cd554598592b97b7256ddaad759945b125
CFI,18,Cofoundit,0x12fef5e57bf45873cd9b62e9dbd7bfb99e32d73e
CRC,18,Crycash,0xf41e5fbc2f6aac200dd8619e121ce1f05d150077
TFD,18,TE-FOOD,0xe5f166c0d8872b68790061317bb6cca04582c912
NCT,18,Nectar,0x9e46a38f5daabe8683e10793b06749eef7d733d1
XCLR,8,ClearCoin,0x1e26b3d07e57f453cae30f7ddd2f945f5bf3ef33
SQRL,6,SquirrelGims,0xf99f901124cbbe180984a247ba94cfba0c764b2e
EMVC,2,MovieCredits,0xd3f5056d9a112ca81b0e6f9f47f3285aa44c6aaa
RST,10,Rega,0xa17d1bf14802e0eec8f84b3b8b638a9402d60e9e
TFT,8,Travelling,0x13ea82d5e1a811f55bda9c86fdd6195a6bd23aed
NIMFA,18,Nimfamoney,0xe26517a9967299453d3f1b48aa005e6127e67210
SRNT,18,Serenity,0xbc7942054f77b82e8a71ace170e4b00ebae67eb6
ABYSS,18,ABYSS,0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6
LIF,18,Lif,0xeb9951021698b42e4399f9cbb6267aa35f82d59d
FID,18,Fidelium Token,0x52fb36c83ad33c1824912fc81071ca5eeb8ab390
ECOM,18,Omnitude,0x171d750d42d661b62c277a6b486adb82348c3eca
ELYTE,18,EthereumLyte,0x05d379b48a8622ae4018309e116420db4a38a225
PBIT,8,PeraBit,0xb395bb199f4b31232274a2889b266a37ea64b1a3
BASE,18,Equitybase,0xabf1411106314b22307ef99c6f8e7d39775b0a95
FND,18,FundRequest,0x4df47b4969b2911c966506e3592c41389493953b
LINK,18,ChainLink,0x514910771af9ca656af840dff83e8264ecf986ca
BNB,18,BNB,0xb8c77482e45f1f44de1745f52c74426c631bdd52
WYS,18,wys Token,0xd8950fdeaa10304b7a7fd03a2fc66bc39f3c711a
FNL,3,Funnel Token,0x4c5601164e2048a4154de91fa5e0b07e626cab7f
MBRS,0,Embers,0x386467f1f3ddbe832448650418311a479eecfc57
SAI,18,SAI,0x59adcf176ed2f6788a41b8ea4c4904518e62b6a4
JOT,18,Jury.Online,0xdb455c71c1bc2de4e80ca451184041ef32054001
SAN,18,SANtiment,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098
SAL,18,SALPay,0x75c5ee419331b6150879530d06f9ba054755f1da
CANDY,18,Unicorn Candy Coin,0xcd3673af09e76c74d889aabab68ca0645566a3a1
EZEC,18,EZEC,0xae4191a7eb25713ac90483ea75828ae8038f94dc
PRO,18,ProChain,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01
APIS,18,APIS,0x4c0fbe1bb46612915e7967d2c3213cd4d87257ad
RZ,0,Rupee.Z,0xcdb8ad9a0ec69e6b4f99204bf6d66709eabb917e
LBA,18,Libra Credit,0xfe5f141bf94fe84bc28ded0ab966c16b17490657
WTC,18,Walton,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74
IXT,8,iXledger,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094
PRS,18,Persian,0x163733bcc28dbf26b41a8cfa83e369b5b3af741b
XAUR,8,Xaurum,0x4df812f6064def1e5e029f1ca858777cc98d2d81
SAT,8,SocialActivityToken,0xc56b13ebbcffa67cfb7979b900b736b3fb480d78
EETHER,18,E-Ether,0x00a0cbe98e4d110b0fa82646152d77babf2951d0
ZIP,8,ZipCoin,0x93e24ce396a9e7d7de4a5bc616cf5fcab0476626
EPY,8,Emphy,0x50ee674689d75c0f88e8f83cfe8c4b69e8fd590d
MRV,18,Macroverse,0xab6cf87a50f17d7f5e1feaf81b6fe9ffbe8ebf84
PPT,8,Populous,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a
MRP,18,MoneyRebel,0x21f0f0fd3141ee9e11b3d7f13a1028cd515f459c
LAN,18,FreelancerCoin,0x64ff248ddd36430e3640fbea76999941a8bccbd7
BCOIN,8,BannerCoin,0xd3e2f9dfff5a6feeece5dbcee3b86cb375fd8c98
TPT,18,Teleport,0xc596bd09d652827b0106292d3e378d5938df4b12
HRK,0,AllenHark Terminal,0xb5d005cea9d5c1cfe56d8a1c34de39f963565565
MRK,8,Mark Space,0xf453b5b9d4e0b5c62ffb256bb2378cc2bc8e8a89
CHX,18,Chainium,0x1460a58096d80a50a2f1f956dda497611fa4f165
ZIL,12,zilliqa,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
NIO,0,Autonio,0x5554e04e76533e1d14c52f05beef6c9d329e1e30
VIB,18,Viberate,0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724
ICASH,18,iCash,0x892b6df40a9d8f584296d9323efd0ed71674d904
SXDT,18,Spectre D,0x12b306fa98f4cbb8d4457fdff3a0a0a56f07ccdf
MTRC,18,ModulTrade,0x1e49ff77c355a3e38d6651ce8404af0e48c5395f
WISH,18,MyWish,0x1b22c32cd936cb97c28c5690a0695a82abf688e6
SFU,18,Saifu,0x5b135d7e2774c801a73208f258123d7623e07784
VIN,18,VIN,0xf3e014fe81267870624132ef3a646b8e83853a96
SDAO,4,Solar DAO,0x646cec6ee42d258336165cbbd5deb4af14f0f476
SPANK,18,SpankChain,0x42d6622dece394b54999fbd73d108123806f6a18
ASTRO,4,AstroTokens,0x7b22938ca841aa392c93dbb7f4c42178e3d65e88
CEDEX,18,CEDEX Token,0xf4065e4477e91c177ded71a7a6fb5ee07dc46bc9
LUC,18,Play2live,0x5dbe296f97b23c4a6aa6183d73e574d02ba5c719
TAAS,6,TokenasaService,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c
PYN,18,Paycentos,0x0142c3b2fc51819b5af5dfc4aa52df9722790851
VIU,18,Viuly,0x519475b31653e46d20cd09f9fdcf3b12bdacb4f5
IPY,8,Infinity Pay,0x2cfd4c10c075fa51649744245ec1d0aa3d567e23
KICK,8,KickCoin,0x27695e09149adc738a978e9a678f99e4c39e9eb9
IFT,18,Feed,0x7654915a1b82d6d2d0afc37c52af556ea8983c7e
HORSE,18,Ethorse,0x5b0751713b2527d7f002c0c4e2a37e1219610a6b
SHPING,18,SHPING,0x7c84e62859d0715eb77d1b1c4154ecd6abb21bec
BFI,18,BitFinTech,0xd83c82d9ead90cdd59be89b9a893bfce3826e2fd
KSS,18,Krosscoin,0xf94e44d8ea46ccd8451d7e15264c6c4a78d3e10f
NGC,18,NAGA,0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131
PRO2,8,Propy,0x226bb599a12c826476e3a771454697ea52e9e220
TRAC,18,Origin Trail,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f
HDG,18,Hedge,0xffe8196bc259e8dedc544d935786aa4709ec3e64
FUN,8,FunFair,0x419d0d8bdd9af5e606ae2232ed285aff190e711b
XNK,18,Ink Protocol,0xbc86727e770de68b1060c91f6bb6945c73e10388
RTE,18,Rate3,0x436f0f3a982074c4a05084485d421466a994fe53
BMC,8,Blackmoon,0xdf6ef343350780bf8c3410bf062e0c015b1dd671
HPB,18,High Performance Blockchain,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2
PKT,18,PlayKey Token,0x2604fa406be957e542beb89e6754fcde6815e83f
RTB,18,AB-CHAIN,0xec491c1088eae992b7a214efb0a266ad0927a72a
TKN,8,Monolith,0xaaaf91d9b90df800df4f55c205fd6989c977e73a
BMH,18,BlockMesh,0xf03045a4c8077e38f3b8e2ed33b8aee69edf869f
CEL,4,Celsius,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d
HMQ,8,Humaniq,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908
DENT,8,DENT,0x3597bfd533a99c9aa083587b074434e61eb0a258
TKT,18,CryptoTickets COIN,0x233cea452c8b2e46f54d3772592edfeb8edbb763
TKR,18,CryptoInsight,0xb45a50545beeab73f38f31e5973768c421805e5e
CHSB,8,SwissBorg,0xba9d4199fab4f26efe3551d490e3821486f135ba
ELTCOIN,8,ELTCOIN,0x44197a4c44d6a059297caf6be4f7e172bd56caaf
BUBO,18,Bubo,0xccbf21ba6ef00802ab06637896b799f7101f54a2
MTP,1,MilitaryPay,0xdab5dfa0966c3435da991b39d205c3ba1c64fe31
UGT,18,UG,0x43ee79e379e7b78d871100ed696e803e7893b644
